OrderMonth,Sales
2015-01,14236.895
2015-02,4519.892
2015-03,55691.009
2015-04,28295.345
2015-05,23648.287
2015-06,34595.1276
2015-07,33946.393
2015-08,27909.4685
2015-09,81777.3508
2015-10,31453.393
2015-11,78628.7167
2015-12,69545.6205
2016-01,18174.0756
2016-02,11951.411
2016-03,38726.252
2016-04,34195.2085
2016-05,30131.6865
2016-06,24797.292
2016-07,28765.325
2016-08,36898.3322
2016-09,64595.918
2016-10,31404.9235
2016-11,75972.5635
2016-12,74919.5212
2017-01,18542.490999999998
2017-02,22978.815
2017-03,51715.875
2017-04,38750.039000000004
2017-05,56987.728
2017-06,40344.534
2017-07,39261.963
2017-08,31115.3743
2017-09,73410.0249
2017-10,59687.745
2017-11,79411.9658
2017-12,96999.043
2018-01,43971.374
2018-02,20301.1334
2018-03,58872.3528
2018-04,36521.5361
2018-05,44261.1102
2018-06,52981.7257
2018-07,45264.416
2018-08,63120.888
2018-09,87866.652
2018-10,77776.9232
2018-11,118447.825
2018-12,83829.3188
